psm_px,psm_py,psm_pz,psm_ox,psm_oy,psm_oz,psm_ow,dk2_px,dk2_py,dk2_pz,dk2_ox,dk2_oy,dk2_oz,dk2_ow
-7.020298,5.049227,3.606186,0.000000,0.000000,0.000000,1.000000,-27.852255,-12.387077,33.437529,-0.098055,-0.174370,-0.092682,-0.975392
-7.495470,3.457974,5.661591,0.000000,0.000000,0.000000,1.000000,-27.959198,-13.669379,33.676806,-0.083288,-0.179451,-0.091133,-0.975989
-7.491426,1.766836,5.092392,0.000000,0.000000,0.000000,1.000000,-27.858898,-14.975865,33.967263,-0.069385,-0.182227,-0.088404,-0.976813
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-27.725986,-15.567067,34.104767,-0.062141,-0.182259,-0.088073,-0.977325
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-27.477273,-16.284527,34.275919,-0.052811,-0.181189,-0.087805,-0.978096
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-26.956975,-17.298481,34.533638,-0.040215,-0.177633,-0.085376,-0.979561
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-26.205096,-18.321928,34.800705,-0.026595,-0.169501,-0.082343,-0.981724
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-25.211340,-19.255963,35.060588,-0.012736,-0.158078,-0.081567,-0.983970
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-24.148367,-20.009463,35.266048,-0.001841,-0.145718,-0.079449,-0.986129
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-22.912467,-20.685470,35.478485,0.008935,-0.129409,-0.076496,-0.988596
-7.524067,0.988578,6.846878,0.000000,0.000000,0.000000,1.000000,-21.544802,-21.248330,35.641405,0.018619,-0.111963,-0.074166,-0.990766
0.915450,-8.903060,3.359558,0.000000,0.000000,0.000000,1.000000,-20.214461,-21.641375,35.734552,0.026884,-0.094245,-0.072495,-0.992542
2.709846,-9.601660,1.997223,0.000000,0.000000,0.000000,1.000000,-18.758225,-21.974300,35.849130,0.033900,-0.072725,-0.070484,-0.994281
4.529336,-10.289546,1.705627,0.000000,0.000000,0.000000,1.000000,-17.343764,-22.225229,35.962453,0.038614,-0.052676,-0.069141,-0.995467
5.416976,-10.505119,0.964737,0.000000,0.000000,0.000000,1.000000,-16.539964,-22.322066,36.010826,0.041551,-0.041431,-0.069236,-0.995873
7.287875,-11.034709,0.754951,0.000000,0.000000,0.000000,1.000000,-15.082181,-22.437333,36.073518,0.046151,-0.021123,-0.069582,-0.996284
9.107708,-11.413220,0.180290,0.000000,0.000000,0.000000,1.000000,-13.534930,-22.446983,36.067298,0.049319,0.000369,-0.068531,-0.996429
10.904078,-11.675652,-0.292442,0.000000,0.000000,0.000000,1.000000,-11.976712,-22.311139,35.980013,0.051767,0.021118,-0.067198,-0.996172
12.531438,-11.601840,-2.225128,0.000000,0.000000,0.000000,1.000000,-10.544108,-22.085351,35.901946,0.051570,0.040217,-0.066339,-0.995652
14.221231,-11.523277,-2.847885,0.000000,0.000000,0.000000,1.000000,-9.037364,-21.725526,35.764939,0.050181,0.059789,-0.066422,-0.994734
15.946567,-11.346762,-2.834267,0.000000,0.000000,0.000000,1.000000,-7.574736,-21.252796,35.612878,0.047112,0.077440,-0.067502,-0.993593
16.540588,-11.072238,-4.032234,0.000000,0.000000,0.000000,1.000000,-6.905576,-21.000211,35.540780,0.045072,0.085081,-0.068470,-0.992996
17.368832,-10.900805,-3.873611,0.000000,0.000000,0.000000,1.000000,-6.259592,-20.731491,35.464087,0.042795,0.092560,-0.069640,-0.992347
18.037062,-10.617846,-4.423058,0.000000,0.000000,0.000000,1.000000,-5.545941,-20.407118,35.378331,0.039859,0.100848,-0.071079,-0.991559
18.648460,-10.279235,-5.003075,0.000000,0.000000,0.000000,1.000000,-4.926310,-20.099485,35.298115,0.036918,0.107789,-0.072425,-0.990845
19.933088,-9.645784,-5.612099,0.000000,0.000000,0.000000,1.000000,-3.683455,-19.407490,35.127375,0.030077,0.121007,-0.075171,-0.989344
20.964388,-8.966592,-6.683258,0.000000,0.000000,0.000000,1.000000,-2.576756,-18.726924,34.950334,0.022902,0.133207,-0.077627,-0.987778
22.007793,-8.364427,-7.075424,0.000000,0.000000,0.000000,1.000000,-1.638904,-18.141320,34.843150,0.014698,0.144467,-0.079124,-0.986232
22.953062,-7.840497,-7.472466,0.000000,0.000000,0.000000,1.000000,-0.955673,-17.708568,34.853315,0.007135,0.153322,-0.079105,-0.984979
26.571651,-8.594095,-5.804138,0.000000,0.000000,0.000000,1.000000,0.709094,-17.838524,35.620001,0.008051,0.176184,-0.061135,-0.982424
26.099855,-8.596863,-7.681366,0.000000,0.000000,0.000000,1.000000,0.906250,-17.852730,35.325631,0.009504,0.176741,-0.059974,-0.982383
26.233639,-8.830675,-7.296982,0.000000,0.000000,0.000000,1.000000,1.220721,-17.823067,34.844807,0.009993,0.176870,-0.058421,-0.982448
25.896105,-8.931934,-8.680229,0.000000,0.000000,0.000000,1.000000,1.638926,-17.704949,34.108135,0.009804,0.176855,-0.056489,-0.982566
25.527792,-9.025994,-9.967796,0.000000,0.000000,0.000000,1.000000,2.093410,-17.500450,33.178574,0.009003,0.177271,-0.055127,-0.982576
25.241581,-9.060419,-10.747200,0.000000,0.000000,0.000000,1.000000,2.596250,-17.183965,32.008502,0.007180,0.177320,-0.054272,-0.982629
24.534874,-8.941135,-12.663773,0.000000,0.000000,0.000000,1.000000,3.103991,-16.753002,30.680287,0.004093,0.174917,-0.053371,-0.983127
23.834061,-8.776918,-14.160378,0.000000,0.000000,0.000000,1.000000,3.577011,-16.265555,29.289174,-0.001417,0.170817,-0.052746,-0.983889
23.151665,-8.573209,-15.161430,0.000000,0.000000,0.000000,1.000000,4.026931,-15.703975,27.666250,-0.007539,0.165441,-0.053621,-0.984732
21.351404,-8.123615,-18.137489,0.000000,0.000000,0.000000,1.000000,4.531150,-14.877377,25.031263,-0.015465,0.154937,-0.055851,-0.986223
19.777998,-7.790229,-20.610588,0.000000,0.000000,0.000000,1.000000,4.673182,-14.321095,23.091201,-0.019332,0.149399,-0.057422,-0.986919
18.164974,-7.552032,-22.413155,0.000000,0.000000,0.000000,1.000000,4.656478,-13.820085,21.081692,-0.022320,0.141627,-0.058666,-0.987928
16.535877,-7.517676,-23.457787,0.000000,0.000000,0.000000,1.000000,4.534727,-13.403401,19.155467,-0.023148,0.131192,-0.058341,-0.989368
14.386026,-7.383521,-26.097908,0.000000,0.000000,0.000000,1.000000,4.232782,-13.031830,17.154679,-0.024069,0.119207,-0.057392,-0.990917
12.356267,-7.365189,-27.435730,0.000000,0.000000,0.000000,1.000000,3.747763,-12.752494,15.194690,-0.028001,0.106169,-0.056638,-0.992339
10.180550,-7.416788,-28.438797,0.000000,0.000000,0.000000,1.000000,3.139556,-12.502487,13.325416,-0.028111,0.091757,-0.056141,-0.993800
7.713413,-7.323800,-30.411926,0.000000,0.000000,0.000000,1.000000,2.281548,-12.292337,11.419322,-0.027016,0.077079,-0.057249,-0.995013
5.321696,-7.300897,-31.030281,0.000000,0.000000,0.000000,1.000000,1.156765,-12.157846,9.633648,-0.028062,0.062974,-0.058558,-0.995900
2.762882,-7.221879,-31.905975,0.000000,0.000000,0.000000,1.000000,-0.084970,-12.058745,8.057410,-0.027228,0.047922,-0.059913,-0.996681
0.233376,-7.166152,-31.894333,0.000000,0.000000,0.000000,1.000000,-1.603213,-11.963992,6.581201,-0.024172,0.032213,-0.061566,-0.997290
-2.288226,-7.079477,-31.494164,0.000000,0.000000,0.000000,1.000000,-3.314565,-11.930966,5.400680,-0.025179,0.015488,-0.061754,-0.997654
-4.771911,-6.937314,-30.891289,0.000000,0.000000,0.000000,1.000000,-5.039065,-11.938632,4.524592,-0.025509,-0.002734,-0.061766,-0.997761
-7.238059,-6.773156,-30.007774,0.000000,0.000000,0.000000,1.000000,-6.959642,-11.979656,3.907104,-0.025210,-0.022578,-0.062266,-0.997486
-9.441982,-6.531726,-29.415291,0.000000,0.000000,0.000000,1.000000,-8.950824,-12.058100,3.622998,-0.025804,-0.042370,-0.062197,-0.996830
-11.595292,-6.336579,-27.542892,0.000000,0.000000,0.000000,1.000000,-10.850605,-12.168689,3.649809,-0.026019,-0.061716,-0.061528,-0.995856
-13.584182,-6.169544,-25.517418,0.000000,0.000000,0.000000,1.000000,-12.828892,-12.318976,3.989733,-0.025977,-0.081652,-0.060409,-0.994489
-15.303575,-5.964890,-23.267273,0.000000,0.000000,0.000000,1.000000,-14.759257,-12.513146,4.629610,-0.026652,-0.100265,-0.058524,-0.992880
-16.556841,-5.700058,-21.845856,0.000000,0.000000,0.000000,1.000000,-16.478285,-12.723047,5.459651,-0.027185,-0.117297,-0.055753,-0.991158
-17.717171,-5.491452,-19.842476,0.000000,0.000000,0.000000,1.000000,-18.125147,-12.970607,6.549887,-0.026437,-0.136775,-0.053746,-0.988790
-18.881231,-5.354393,-16.516632,0.000000,0.000000,0.000000,1.000000,-19.633161,-13.239647,7.871272,-0.025661,-0.154670,-0.052886,-0.986216
-19.247599,-5.066607,-15.338348,0.000000,0.000000,0.000000,1.000000,-20.940456,-13.492848,9.284920,-0.025813,-0.168689,-0.051552,-0.983982
-19.527464,-4.801980,-13.520683,0.000000,0.000000,0.000000,1.000000,-22.162877,-13.740656,10.933485,-0.024902,-0.184078,-0.050788,-0.981283
-19.832827,-4.566006,-10.570694,0.000000,0.000000,0.000000,1.000000,-23.170492,-13.952985,12.665497,-0.023071,-0.197960,-0.051581,-0.978580
-19.415804,-4.206494,-9.863731,0.000000,0.000000,0.000000,1.000000,-24.020272,-14.176612,14.484155,-0.023201,-0.210108,-0.052632,-0.975985
-19.053490,-3.904960,-7.827858,0.000000,0.000000,0.000000,1.000000,-24.651940,-14.394602,16.299331,-0.023227,-0.220697,-0.054069,-0.973566
-18.215673,-3.555748,-7.181213,0.000000,0.000000,0.000000,1.000000,-25.095418,-14.568588,18.261252,-0.021187,-0.230904,-0.054953,-0.971192
-18.036709,-3.488874,-5.266029,0.000000,0.000000,0.000000,1.000000,-25.222421,-14.648558,19.216613,-0.020794,-0.235709,-0.054625,-0.970064
-17.325672,-3.317040,-5.636269,0.000000,0.000000,0.000000,1.000000,-25.303194,-14.743671,20.297413,-0.021522,-0.240713,-0.053766,-0.968867
-16.421265,-3.143117,-2.643288,0.000000,0.000000,0.000000,1.000000,-25.283930,-14.919280,22.243440,-0.023626,-0.247560,-0.053347,-0.967114
-14.850139,-2.865432,-2.863266,0.000000,0.000000,0.000000,1.000000,-25.079462,-15.072213,24.259600,-0.023801,-0.251862,-0.054077,-0.965958
-13.255396,-2.685415,-2.479515,0.000000,0.000000,0.000000,1.000000,-24.702731,-15.179726,26.184326,-0.023263,-0.252304,-0.053913,-0.965865
-11.666759,-2.565174,-0.439743,0.000000,0.000000,0.000000,1.000000,-24.107467,-15.301859,27.905431,-0.025107,-0.251302,-0.052682,-0.966148
-9.653784,-2.496045,-1.532440,0.000000,0.000000,0.000000,1.000000,-23.300236,-15.405187,29.571402,-0.024750,-0.248352,-0.051713,-0.966972
-7.818723,-2.520111,-1.408089,0.000000,0.000000,0.000000,1.000000,-22.394900,-15.460666,31.033868,-0.021874,-0.241573,-0.051057,-0.968792
-6.804615,-2.523319,-2.352707,0.000000,0.000000,0.000000,1.000000,-21.931183,-15.483087,31.667966,-0.020804,-0.236748,-0.050218,-0.970049
-5.956043,-2.624472,0.212715,0.000000,0.000000,0.000000,1.000000,-21.439455,-15.510133,32.278287,-0.020102,-0.230943,-0.049106,-0.971519
-3.900640,-2.718364,-0.241089,0.000000,0.000000,0.000000,1.000000,-20.322677,-15.580222,33.473834,-0.018883,-0.218521,-0.047413,-0.974497
-1.913746,-2.856885,-2.730110,0.000000,0.000000,0.000000,1.000000,-19.112337,-15.627551,34.490103,-0.013658,-0.205730,-0.047317,-0.977369
0.014808,-3.154513,-2.209785,0.000000,0.000000,0.000000,1.000000,-17.898808,-15.668064,35.308629,-0.008743,-0.191791,-0.046593,-0.980290
1.955656,-3.382604,-1.415207,0.000000,0.000000,0.000000,1.000000,-16.584387,-15.724194,36.035094,-0.005282,-0.175828,-0.047094,-0.983280
3.859373,-3.616473,-2.685997,0.000000,0.000000,0.000000,1.000000,-15.240104,-15.790138,36.654258,-0.001836,-0.157107,-0.049032,-0.986362
5.846381,-3.871283,-2.652313,0.000000,0.000000,0.000000,1.000000,-13.947611,-15.835451,37.113836,-0.000420,-0.138370,-0.049572,-0.989139
7.696358,-4.052929,-3.631821,0.000000,0.000000,0.000000,1.000000,-12.548977,-15.836833,37.469354,0.002469,-0.117822,-0.050990,-0.991722
8.579747,-4.143689,-4.254852,0.000000,0.000000,0.000000,1.000000,-11.892143,-15.819566,37.607437,0.004224,-0.107516,-0.051752,-0.992846
10.411527,-4.293949,-4.928696,0.000000,0.000000,0.000000,1.000000,-10.478749,-15.731645,37.851918,0.006859,-0.085775,-0.052480,-0.994908
12.195090,-4.404199,-5.926689,0.000000,0.000000,0.000000,1.000000,-9.066668,-15.574609,38.020384,0.007914,-0.064746,-0.051518,-0.996540
14.091375,-4.525592,-5.458191,0.000000,0.000000,0.000000,1.000000,-7.734602,-15.367462,38.083661,0.010104,-0.044916,-0.050314,-0.997672
15.929096,-4.637362,-5.295525,0.000000,0.000000,0.000000,1.000000,-6.367958,-15.109131,38.068944,0.012150,-0.024069,-0.049502,-0.998410
17.532087,-4.627101,-5.642700,0.000000,0.000000,0.000000,1.000000,-5.174572,-14.865445,38.004974,0.011843,-0.004737,-0.048275,-0.998753
18.566187,-4.563763,-7.387154,0.000000,0.000000,0.000000,1.000000,-4.203700,-14.656700,37.876168,0.012501,0.010803,-0.047267,-0.998746
19.654079,-4.625352,-6.807434,0.000000,0.000000,0.000000,1.000000,-3.530176,-14.523348,37.744096,0.014353,0.020502,-0.047521,-0.998557
20.261654,-4.677129,-6.857170,0.000000,0.000000,0.000000,1.000000,-3.103708,-14.494844,37.631869,0.012448,0.027592,-0.047845,-0.998396
20.490406,-4.701407,-6.683502,0.000000,0.000000,0.000000,1.000000,-2.997181,-14.504623,37.585625,0.011384,0.030056,-0.047780,-0.998341
20.587221,-4.716932,-7.011467,0.000000,0.000000,0.000000,1.000000,-2.940877,-14.526418,37.535989,0.010722,0.031886,-0.047335,-0.998312
20.520987,-4.748295,-7.609512,0.000000,0.000000,0.000000,1.000000,-2.937464,-14.554578,37.499851,0.010762,0.032600,-0.046636,-0.998322
15.933284,-4.620631,-3.361656,0.000000,0.000000,0.000000,1.000000,-8.428197,-15.764870,38.743427,-0.001942,-0.016450,-0.050786,-0.998572
15.222461,-4.346036,-3.062157,0.000000,0.000000,0.000000,1.000000,-9.154736,-15.747370,38.957125,-0.004168,-0.026487,-0.053312,-0.998218
14.399088,-4.056037,-3.044960,0.000000,0.000000,0.000000,1.000000,-9.830778,-15.698375,39.109826,-0.006150,-0.037465,-0.055491,-0.997737
14.106577,-3.947356,-2.222458,0.000000,0.000000,0.000000,1.000000,-10.115742,-15.655123,39.149490,-0.007139,-0.042702,-0.056697,-0.997452
13.326028,-3.580681,-2.328918,0.000000,0.000000,0.000000,1.000000,-10.633744,-15.490502,39.152673,-0.010670,-0.053936,-0.059441,-0.996716
12.553524,-3.083765,-2.753456,0.000000,0.000000,0.000000,1.000000,-11.028571,-15.168318,39.023194,-0.014768,-0.063441,-0.061915,-0.995954
11.928967,-2.420117,-2.439484,0.000000,0.000000,0.000000,1.000000,-11.368190,-14.596584,38.758031,-0.020959,-0.071417,-0.064532,-0.995136
11.276612,-1.443646,-2.981758,0.000000,0.000000,0.000000,1.000000,-11.653126,-13.809037,38.376516,-0.031384,-0.076768,-0.066684,-0.994321
10.747877,-0.239528,-3.138496,0.000000,0.000000,0.000000,1.000000,-11.881685,-12.864648,37.917379,-0.043138,-0.079701,-0.069878,-0.993430
10.447212,0.440056,-3.592888,0.000000,0.000000,0.000000,1.000000,-11.982951,-12.262033,37.616634,-0.050911,-0.081107,-0.071946,-0.992801
9.914318,1.905541,-4.161514,0.000000,0.000000,0.000000,1.000000,-12.099025,-11.111549,37.018120,-0.065410,-0.085524,-0.074453,-0.991395
9.499331,2.587343,-5.537338,0.000000,0.000000,0.000000,1.000000,-12.125292,-10.432672,36.619073,-0.073668,-0.089405,-0.074964,-0.990434
8.858633,4.054706,-5.485176,0.000000,0.000000,0.000000,1.000000,-12.145358,-9.205397,35.764098,-0.087509,-0.095714,-0.075712,-0.988660
8.159341,5.472798,-6.350853,0.000000,0.000000,0.000000,1.000000,-12.211060,-7.880255,34.693423,-0.100342,-0.097080,-0.078436,-0.987094
7.098662,7.542239,-7.504913,0.000000,0.000000,0.000000,1.000000,-12.283456,-6.062562,32.903963,-0.118573,-0.097848,-0.081645,-0.984734
6.215193,8.761839,-8.243042,0.000000,0.000000,0.000000,1.000000,-12.297593,-4.826704,31.559986,-0.123975,-0.099145,-0.082081,-0.983902
5.342144,9.953435,-8.014030,0.000000,0.000000,0.000000,1.000000,-12.270132,-3.773610,30.196613,-0.131105,-0.101194,-0.081471,-0.982819
4.309304,10.719625,-10.439041,0.000000,0.000000,0.000000,1.000000,-12.217438,-2.782845,28.626981,-0.137465,-0.102645,-0.081309,-0.981813
3.182375,11.423165,-11.832199,0.000000,0.000000,0.000000,1.000000,-12.169072,-1.862614,26.875606,-0.137178,-0.103293,-0.081994,-0.981728
1.898787,12.013342,-12.715881,0.000000,0.000000,0.000000,1.000000,-12.114032,-1.116730,25.104237,-0.135541,-0.103854,-0.082508,-0.981853
-0.056839,12.450966,-14.991066,0.000000,0.000000,0.000000,1.000000,-12.044604,-0.223567,22.103958,-0.134179,-0.100108,-0.081362,-0.982525
-1.533745,12.255685,-17.543076,0.000000,0.000000,0.000000,1.000000,-11.981772,0.218200,19.865625,-0.125497,-0.097192,-0.080210,-0.984058
-3.113223,11.928753,-19.268654,0.000000,0.000000,0.000000,1.000000,-11.906049,0.417694,17.529374,-0.115358,-0.093586,-0.078047,-0.985821
-4.663882,11.201944,-21.385857,0.000000,0.000000,0.000000,1.000000,-11.849040,0.322491,15.272702,-0.108587,-0.090443,-0.074243,-0.987176
-6.295151,10.183760,-23.168175,0.000000,0.000000,0.000000,1.000000,-11.804269,-0.006914,12.846798,-0.094056,-0.086507,-0.070363,-0.989302
-7.928131,8.793708,-25.282478,0.000000,0.000000,0.000000,1.000000,-11.760624,-0.613449,10.551087,-0.077692,-0.082416,-0.066575,-0.991332
-9.350706,7.199061,-26.825974,0.000000,0.000000,0.000000,1.000000,-11.666549,-1.547649,8.493177,-0.067653,-0.081518,-0.061444,-0.992473
-10.740007,5.415221,-27.783455,0.000000,0.000000,0.000000,1.000000,-11.551483,-2.626317,6.764966,-0.053179,-0.082129,-0.057860,-0.993518
-11.911175,3.385597,-28.718536,0.000000,0.000000,0.000000,1.000000,-11.452926,-4.035697,5.253613,-0.039249,-0.082074,-0.054833,-0.994342
-12.770909,1.219579,-29.354965,0.000000,0.000000,0.000000,1.000000,-11.414759,-5.675184,4.112240,-0.027393,-0.080406,-0.051717,-0.995043
-13.609398,-1.070563,-28.778076,0.000000,0.000000,0.000000,1.000000,-11.396582,-7.341537,3.346454,-0.012678,-0.079497,-0.048828,-0.995558
